name,jurisdiction,description,website,type___value
Sheffield Futures,,,https://www.sheffieldfutures.org.uk/,
Triodos Bank UK,,,https://www.triodos.co.uk/,
Ministry of Justice (MoJ),GB,,,Government body
Sheffield City Council,GB,,,Government body
The Key Fund,,,,
Big Issue Invest,,,,
QBE Insurance Group,AU,"QBE Insurance Group is one of the world's top 20 insurance and reinsurance companies, located in 37 countries.",http://www.qbe.com,"Registered company, partnership or commercial association"
Montpellier Foundation,,,,
UnitingCare Queensland,,,,
Social Ventures Australia,AU,"Social Ventures Australia (SVA) is a not-for-profit organisation that works with partners to alleviate disadvantage through consulting, impact investing, philanthropy and advocacy.",https://www.socialventures.com.au/,"Registered non-profit organisation, charity or foundation"
Queensland Treasury,AU,,,Government body
"Investors range from high net worth individuals and foundations, through to institutional investors such as NGS Super, QIC and HESTA.",,,,
La Cravate Solidaire,,,,
Kimso,,,www.kimso.fr,
BNP Paribas,,,,
"Ministry of Labor, Employment, Professional Formation, and Social Dialogue (Ministère du Travail, de l'Emploi, de la Formation Professionnelle et du Dialogue Social)",FR,,,Government body
Ministry of Solidarity and Ecological Transition (Ministère de la Transition Ecologique et Solidaire),FR,,,Government body
"Ministère de l'Économie, des Finances et de l'Industrie (French Ministry of Economy, Finance and Industry)",FR,,https://www.economie.gouv.fr/,Government body
MAIF Investissement Social et Solidaire,,,,
Caisse des Dépôts et Consignations,,,,
AVIVA Impact Investing France,,,,
INCO Investissement,,,,
Conscience Community Network,,,,
One Hope United,,,,
Maryville Academic,,,,
OMNI Youth Services,,,,
SGA Youth and Family Services,,,,
UCAN,,,,
Youth Outreach Services,,,,
University of Michigan School of Social Work,,,,
Third Sector Capital Partners,,,,
Illinois Department of Children and Family Services (DCFS),US,,,Government body
Unknown,,,,
Duo for a Job,,,,
L'Observatoire bruxellois de l'emploi (Brussels Observatory of Employment),,,,
Stibbe,,,,
KOIS,,"KOIS is a firm specialized in impact investing. It deploys capital in impact businesses and funds that generate a competitive financial return, as well as a positive impact on society and the environment. Beyond deploying capital directly in impact businesses or on behalf of its clients, KOIS offers premium advisory services to assist various stakeholders in developing innovative impact finance mechanisms, such as Social Impact Bonds.",https://koisinvest.com,"Registered company, partnership or commercial association"
"Actiris, l'office regionale bruxellois de l'emploi (Brussel employment agency)",BE,,,Government body
Investor consortium led by KOIS (Degroof Petercam Foundation contributed as an investor),,,,
Career Connect,,,,
Department for Work and Pensions (DWP),GB,,,Government body
Big Society Capital,,,,
End of Life Care Integrator,,,,
Hammersmith and Fulham CCG,GB,,,Government body
Hounslow CCG,GB,,,Government body
Harrow CCG,GB,,,Government body
Hillingdon CCG,GB,,,Government body
Care and Wellbeing Fund,,,,
Western Cape Foundation for Community Work (FCW),,,,
Mothers2mothers,,,,
The Bertha Centre,ZA,"The Bertha Centre for Social Innovation and Entrepreneurship is the first academic centre in Africa dedicated to advancing social innovation and entrepreneurship. It was established as a specialised centre at the UCT Graduate School of Business in late 2011, in partnership with the Bertha Foundation, a family foundation that works with inspiring leaders who are catalysts for social and economic change, and human rights. The Centre is now a leading academic centre in Africa",http://www.gsb.uct.ac.za/berthacentre,
Social Finance UK,GB,"Social Finance is a global non-profit social impact consultancy with a focus on the design, delivery and launch of outcomes-based contracts including social and development impact bonds and routes to scale approaches such as outcome funds and outcome contracting platforms. Social Finance pioneered the first social impact bond in the UK in 2009 and its adaptation to international development (DIBs) and works to actively support the development of quality outcomes-based commissioning.",http://www.socialfinance.org.uk,
Western Cape Department of Social Development,ZA,,,Government body
ApexHi Charitable Trust,ZA,,,"Registered non-profit organisation, charity or foundation"
The Standard Bank Tutuwa Community Foundation,ZA,"The Standard Bank Tutuwa Community Foundation was established 2016, and it purpose is to benefit communities in South Africa through the promotion of economic development and the alleviation of poverty.",http://www.tutuwafoundation.org,"Registered non-profit organisation, charity or foundation"
Futuregrowth Asset Management,,,,
LGT Venture Philanthropy,,,,
Teens and Toddlers (now known as Power2),,,,
iDE (International Development Enterprises),,,,
USAID. United States Agency for International Development.,US,,,Government body
The Stone Family Foundation,GB,"Established in 2005, The Stone Family Foundation supports innovative, sustainable, entrepreneurial solutions to major social problems, in the UK and around the world.",http://thesff.com,"Registered non-profit organisation, charity or foundation"
Aldar Education,,,,
The Authority of Social Contribution – Ma'an,,,,
Department of Community Development (DCD),AE,,,Government body
Aldar Properties,,,,
Caritas Bern (Perspective),,,,
Fokus Bern,,,,
Invethos AG,,,,
Gesundheits- und Fürsorgedirektion Kanton Bern (Health and Welfare Directorate Canton Bern),CH,,,Government body
Social Impact Bond AG (contributing investors are not disclosed),,,,
P3 Charity (People Potential Possibilities),,,,
Gloucestershire County Council,,,,
Gloucestershire Clinical Commissioning Group,GB,,,Government body
Six district councils,GB,,,Government body
"Ministry of Housing, Communities and Local Government (MHCLG)",GB,,,Government body
IMPACT Académie,,,,
Impact Partenaires,,,,
The Road Home,,,,
The University of Utah's Criminal Justice Center (UCJC),,,,
Community Foundation of Utah (fiscal manager),,,,
Sorenson Impact Center,US,Sorenson Impact is a think-and-do tank that focuses on solving social problems using data and innovation.,https://sorensonimpactcenter.com/,
"Salt Lake County, Utah",US,,,Government body
Northern Trust,,,,
Ally Bank,,,,
The Reinvestment Fund,,,,
Sorenson Impact Foundation,,,,
Sorenson Family Foundation,,,,
Family-Based Recovery Services at Yale Child Study Center,,,,
University of Connecticut Health Center (evaluator),,,,
Connecticut Department of Children and Families,US,,,Government body
Doris Duke Charitable Foundation,,,,
Laura and John Arnold Foundation,,,,
Nonprofit Finance Fund,,,,
Two anonymous family foundations,,,,
Action for Children,,,,
Manchester City Council,GB,,,Government body
Cabinet Office,GB,,,Government body
Liverpool City Council,GB,,,Government body
Wirral Council,GB,,,Government body
St. Helens Council,GB,,,Government body
Sefton Council,GB,,,Government body
Halton Borough Council,GB,,,Government body
Bridges Outcomes Partnerships,,,https://bridgesoutcomespartnerships.org/,
HM Department for Education,GB,,,Government body
London Borough of Lewisham,GB,,,Government body
London Borough of Bromley,GB,,,Government body
Royal Borough of Greenwich,GB,,,Government body
St. Mungo's,,,,
Second Step,,,,
Bristol Drug Project,,,,
Bristol City Council,GB,,,Government body
Charities Aid Foundation Venturesome (CAF),,,,
Resonance West Midlands SITR Fund,,,https://resonance.ltd.uk/for-investors/investment-opportunities/enterprise-growth-funds/resonance-west-midlands-sitr-fund,
12 service providers managed by Prevista Ltd.,GB,,,
London Borough of Croydon,GB,,,Government body
Prevista,,,,
BeCode,,,,
VDAB (Flemish Service for Employment and Vocational Training),BE,,,Government body
PIO - Programma Innovatieve Overheidsopdrachten (Programme for Innovation Procurement),BE,,,Government body
Impact Capital,,,,
Various VCSE organisations,,,,
London Borough of Lambeth,GB,,,Government body
London Borough of Southwark,GB,,,Government body
Elton John AIDS Foundation,GB,,https://www.eltonjohnaidsfoundation.org/,"Registered non-profit organisation, charity or foundation"
APM Workcare Ltd.,,,,
The Social Bonds Pilot team (within government of New Zealand),,,,
Ministry of Social Development,NZ,,,Government body
Prospect Investment Management,,,,
Janssen (of the Johnson & Johnson Family of Companies in New Zealand),,,,
Wilberforce Foundation,,,,
Associacao Tempos Brilhantes,,,,
Portugal Social Innovation Mission Unit,PT,,,Government body
Direcao Geral de Educacao,PT,,,Government body
EDUCOACH S.A,,,,
Fundacao Portugal Telecom,,,,
Denver Collaborative Partnership,,,,
Savio Management (fiscal agent),,,,
Social Impact Solutions (advisor),,,,
State of Colorado,US,,,Government body
Northern Trust Company,,,,
The Piton Foundation,,,,
The Y,,,,
YMCA England & Wales (Young Men's Christian Association),GB,,https://ymca.org.uk/,"Registered non-profit organisation, charity or foundation"
"Department for Culture, Media and Sport (DCMS)",GB,,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,Government body
Retail Investors,,,,
Buzinezzclub,,,,
Deloitte ,,,,
Ortec Finance,,,,
Municipality of Rotterdam,NL,,,Government body
Start Foundation,,,,
