ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Early Childhood Education - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0026,Innovative Financing Models for boosting employment in vulnerable populations in Mozambique,,Current,,source1,,Early stage,source1,"Post feasibility stage, where four concepts ready for market testing have been indentified and one will be selected. Currently seeking to partner with organisations and funders focused on gender and/or employment outcomes to operationalise these models.",Yes,No,No,No,No,No,Other: innovative financing models with an outcomes orientation,source1,,No,,source1,,Q2 - 2023 or later,12-24 months,TBD,Q4 2020,source1,,"Integrating outcomes-based financing principles into innovative finance models will catalyze new funding for the DUYW employment challenge in Mozambique by (i) creating sharp and shared incentives for all parties to achieve a common goal, and (ii) facilitate new partnerships, including with the private sector, that allows different capabilities, perspectives and networks to work together for a common good",source1,,"(1) Securing funding to take one or more of the models through to feasibility stage
(2) Operationalise the detailed concepts that have been developed in the scoping phase",source1,,No,No,No,No,Yes,source1,,Yes,No,No,,source1,,Yes,source1,,No,No,No,No,Key project terms will be identified in subsequent feasibility stages,source1,,Yes,,source1,,USD,Ranging from potential $500k to $20m (varying significantly between models and the appetite of funders),source1,Up to $20 million,"50 % of Mozambicans are still living in poverty and social and economic inequalities are continuing to grow. The challenges faced by disadvantaged urban youth and women (DUYW) are severe. Without deliberate intervention to address the constraints facing them, this trend is set to worsen. MUVA, a Mozambican NGO supporting womenâs economic empowerment, in collaboration with Social Finance, identified four outcomes-oriented innovative finance intervention models with the potential to enable DUYW  to access jobs and economic opportunities. Each responds to a specific set of challenges: (i) addressing the visible and invisible gender-specific barriers young women face when entering the workforce, (ii) the technical and financial support needed to incubate DUYW entrepreneurs, and (iii) the culture change required from larger employers to accommodate young women.
(Scoping report: https://www.socialfinance.org.uk/sites/default/files/publications/muvareport.pdf)","(1) a Female Economic Empowerment and Employment DIB
(2) an Early Stage Enterprise Catalytic Fund
(3) a Gender-Impact Blended Finance Fund
(4) an outcomes-oriented Public Goods Cash Transfer programme",Yes,No,No,No,No,No,No,No,No,No,,,,"10, 5, 8",,,source1,,"Demand side: disadvantaged urban youth and young women in Mozambique
Supply side: enterprises, ranging from subsistence entrepreneurs to larger enterprises",TBD,Individual,,Yes,No,No,No,source1,,Data for this pipeline project was last updated in April 2022,Mozambique,MZ
INDIGO-PL-0027,Fresh Life: scaling urban sanitation with results-based finance (RBF),,Current,,source1,,Early stage,"source1,source2","Early-stage design, Late-stage design",No,No,No,No,Yes,No,,"source1,source2",,No,,source1,,Q1 - 2023,12-24 months,4.5,March 2021,source1,,"Scaling up Sanergyâs offering will bring economies of scale and efficiencies to the delivery of their services. The long term ambition is to achieve financial sustainability via results-based contracts with municipalies. The proposed outcomes-based model will create a natural bridge from donor subsidies to municipality funding, by allowing external funding to taper out as local funding tapers in, avoiding funding cliff-edges or re-procurement risks",source1,,Securing the level of outcomes funding needed to deliver scale and impact,source1,,No,No,Yes,No,,source1,,No,No,Yes,"Stone Family Foundation, an existing grant funder of Sanergy and investor in the Cambodia Rural Sanitation DIB, connected Sanergy with Social Finance with the ambition that SF could support Sanergy in exploring a move towards outcomes-based funding, building off experience from the Cambodia DIB",source1,,Yes,source1,,Yes,No,No,Yes,Other: likely to need to be an investor (or investors),"source1,source2",,Yes,Social Finance has been contracted by Sanergy to provide technical assistance to support the financial model and suitability analysis required in order to demonstrate the role of outcomes-based funding,source1,,TBD,TBD,source1,,"Currently, 60 million new residents move to urban areas every year. One in four lives in slums, amounting to over 1 billion people. The vast majority (more than 70%) have no access to safe sanitation services and, in effect, are living in their waste. In Kenya this issue is clear and in Nairobi alone, 60% of the population live in informal settlements and 60% of the city remains unconnected to the sewerage system.","Sanergy, established in 2011 to address the sanitation value chain in the low-income informal settlements of Nairobi, provides container-based sanitation services, offering an end to end sanitation solution to residents. These waterless sanitation facilities are leased to local residents, who pay a monthly subscription fee to be part of the network. Sanergy collects the waste through a professional logistics team, provides operational and maintenance support, liaises with government to ensure compliance, and guarantees that all waste is safely treated.",No,No,No,No,Yes,No,No,Yes,No,No,,,,"3,6,8,11",,,"source1,source2",,Informal settlements in Nairobi,463000,Individual,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in April 2022. ,Kenya,KE
INDIGO-PL-0028,Results-Based Financing for container-based sanitation services in northern Haiti,,Current,,source1,,Late stage,source1,,No,No,No,No,Yes,No,,source1,Grant-based incentive payments upon pre-agreed results,No,,source1,,Q2 - 2023 or later,12-24 months,4,Q1 2019,source1,,"Scaling SOILâs market-based approach by reducing costs through economies of scale, creating incentives for cost-efficient operations and proving a mechanism which could later be replicated for public funding of sanitation services in urban Haiti.",source1,,"(1) Misalignment of objectives between the Haitian government and the potential outcomes funder, due to the latter âmoving the goalpostsâ on program scope and intended outcomes.
(2) Potential outcomes funder sought to impose unrealistic cost recovery targets over a short period of time.",source1,,No,No,Yes,No,,source1,,No,No,Yes,,source1,,Yes,source1,,No,No,No,Yes,,source1,,No,,source1,,USD,5000000,source1,Estimate of USD 3-5 mn,"In Haiti, only 30% of the population has access to improved sanitation and less than 1% of waste is safely treated. This has fueled one of the most virulent cholera epidemics in recent global history. While aquatic ecosystems become increasingly polluted with nutrients from human waste, the earthâs soil nutrients have been rapidly declining due to erosion and intensive agricultural practices, leading to a loss of biodiversity, extreme vulnerability to climate-related risks, reduced agricultural production, poverty, and malnutrition. As Haitian cities expand, unplanned, at staggering rates, itâs critical that the sanitation sector develops innovative approaches that work in dense urban areas to avoid exacerbating the toll of preventable waterborne diseases.","SOIL operates an integrated waste management system, from containment of human waste through safe transportation to treatment. This program focuses on expansion of SOILâs âEkoLakayâ container-based household sanitation service and to safely transport and treat the associated waste",No,No,No,No,No,No,No,Yes,No,No,,,,6,,,source1,,Households in urban and peri-urban areas in Haitiâs Grand North region,3350,Other,Households  ,No,Yes,No,No,source1,"Approximately 3350 households (approximately 20,000 people)",Data for this pipeline project was last updated in April 2022. ,Haiti,HT
INDIGO-PL-0029,Armenia Dairy Productivity DIB,,Current,,source1,,Early stage,source1,In mid to late stages with first iteration of design having been largely completed. Funders needed and then looking to engage service providers to co-create and finalise the design,Yes,No,No,No,No,No,,source1,,No,,source1,,Q2 - 2023 or later,>24 months,6,2020/2021,source1,,"An impact bond aligns partners around shared incentives and associated accountability which is necessary to solve the inter-related market failures in Shirak dairy production leaving many smallholders without an avenue to earn their wayout of poverty. Rigorous monitoring and focus on outcomes measurement in an impact bond allows the programme to focus on changes in household income net of production costs, producing a more realistic measure of impact than other programmes. In an area where multiple interventions have not achieved sustained impact, an impact bond provides the flexibility to innovate in service delivery as well as strong feedback loops to understand what works. This is complemented by a focus on value for money which has been lacking in a number of other input-driven agricultural progammes.",source1,,"1. The complexity of the issues area and number of interrelated challenges makes the context of operation complex
2. A lack of publicly available data on smallholder numbers, costs and intervention costs means that further iterations of the programme design and payment mechanism will be necessary
3. Lack of infrastructure and applicable public and private financial mechanisms to secure the sustainability of activities to be implemented during the project",source1,,No,No,Yes,No,,source1,,Yes,No,No,"Service providers not yet selected . The procurement process has not been finalised but is anticipated to be open procurement following an RFP, potentially with an EOI stage before that",source1,,Yes,source1,,No,No,No,No,,source1,,Yes,,source1,,USD,4000000,source1,,"The poverty rate in the Shirak region is significantly higher than the Armenian average and agriculture, particularly dairy farming, is a key source of income. Dairy farming is however charactrised by low-input subsistence activity that leads to persistently high levels of smallholder poverty, indebtedness and outward migration. Low dairy productivity coupled with market failures in the dairy value chain mean that the market operates at a low-level equilibrium of poor quality and low prices, with little possibility of smallholders being able to pull themselves out of poverty","Holistic intervention that could include a multifaceted service package designed across four pillars of infrastructure, agricultural practices, operations and market linkages:
1)        Infrastructure: provide capital for processor and/or smallholder infrastructure investments, acting as co-finance where existing grant-programmes exist.
2)        Agricultural practices: provide training and vet services to improve smallholder practices.
3)        Operations: provide temporary input subsidies, which could be used to de-risk the additional costs associated with adopting new on-farm practices.
4)        Market linkages: support the development of market infrastructure/systems to promote quality-responsive milk pricing from processors, including the potential introduction of milk collection and cooling points. ",Yes,No,No,No,No,Yes,No,No,No,No,,,,"1, 2, 3, 8, 9, 10, 11, 12, 15, 17",,,source1,,Dairy processors and smallholders (with between 3 and 19 cows) in Shirak,2708,Individual,,No,No,Yes,No,source1,"Approximately 2,700 smallholders and 8 dairy processors",Data for this pipeline project was last updated in April 2022.,"Shirak, Armenia",AM
INDIGO-PL-0031,Eye Health Social Impact Guarantee,,Current,,source1,,Scoping,source1,Vision Catalyst Fund is working with Tri-Sector Associates to conduct a market mapping and issue identification exercise. This exercise will tentatively be completed in March before we move into the feasibility study stage,No,No,No,Yes,No,No,,source1,,No,,source1,,Q2 - 2023,12-24 months,2,Q4-2021,source1,,"- Guarantees Upfront Funders the target outcomes that they desire. In the event that these outcomes are not achieved, the guarantee will be called, and they will get some of their funding back.
- Incentivises service providers to focus on delivering outcomes and move away from outputs. 
- Mobilises new sources of funding by providing a guarantee to non-traditional funders of eye health to incentivize the funding of vision-related interventions; the guarantee can be tied to outcomes that are of importance to non-traditional funders (e.g. education or livelihood outcomes)
- Catalyses an inflow of more upfront funding if applied at scale, as the same dollar can be used to guarantee different projects. By developing a portfolio of SIGs, one can create significant leverage by using the same dollar to provide SIGs to multiple projects. 
- Encourages strong performance management through the set-up of formal governance structure and rigorous evaluation practices among service providers so that service providers can continue to build evidence-based interventions..",source1,,"Funding flowing into the eye health space does not reflect the value that good eye health can bring to society. There is a need to educate stakeholders on the Social Impact guarantee, a new outcomes-based contracting model.",source1,,No,No,No,No,TBD,source1,"The goal of this project is to support the government in developing a government-owned, sustainable eye health programme nationwide that will have lasting impact and improve the social-economic status of Vietnamâs citizens. The intention is that the Government of Vietnam is consulted throughout the project including the co-creation process with the service providers. The aim of the project is to support the rollout of the Government's National School Eye Health Guideline through capacity building and technical assistance to the Ministry of Health and Ministry of Education.",No,No,No,,source1,TBD,No,source1,,No,No,Yes,No,"Upfront funding would be structured as a grant, but the funder can purchase a guarantee which gets called if outcomes are not met",source1,,Yes,Vision Catalyst Fund has provided a technical assistance grant to Tri-Sector to initiate the development of the project,source1,,USD,3600000,source1,,"More than a billion people in the world have poor vision. The solutions are already available for 90% of them through cost-effective solutions like glasses and cataract surgery. Low- and middle-income countries are home to 90% of visually impaired persons. Women and girls experience the majority of vision loss and are less likely to receive care. There is an estimated $410 billion annual global cost of productivity losses associated with vision loss. The World Health Organization estimates it would take $24.7 billion to close the gap for unaddressed refractive errors and cataracts globally.
Poor vision is a major public health problem in Vietnam for school-going children. Over 3 million school children have a visual impairment, and they face challenges in accessing high quality services and assistive technologies. In Vietnam, prevalence of uncorrected refractive error among urban school children aged 6â15 years is 25â40%, which is one of the highest in the world. Of those who have uncorrected refractive error, only 33% of them have access to a pair of spectacles, which 60% of the time is likely an incorrect prescription. Key drivers included the lack of consideration of eye health in prior school health policy frameworks, the lack of guidelines for implementing vision screening during annual school health check-ups for children, poor awareness of the importance of eye health among teachers, and the lack of training resources for school nurses and teachers to provide eye health services and referrals. School eye health is now an important priority for the government. In February 2022, the Government of Vietnam announced the objective of implementing the National School Eye Health Guideline across all schools in Vietnam. ","The intervention will work to strengthen the rollout of the Vietnamese Government's National School Eye Care guidelines. Activities will include school-based screening, diagnosis, referral, and treatment interventions, along with educational communications campaigns to facilitate preventative eye care. The programme is taking a systems strengthening approach including capacity building, health system integration and development of new processes. ",No,No,No,No,Yes,No,No,No,No,No,,,,3,,,source1,,"The primary target population is school children from 6â15 years old, prioritising economically disadvantaged and ethnic minority communities.",TBD (dependent on the intervention which we are still developing),Individual,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in April 2022,"Nepal, and others, Cambodia, Vietnam, Bangladesh, Indonesia","ID, KH, VN, NP, BD"
INDIGO-PL-0034,Impact Bond to address Child Labour in the Cocoa Value Chain in CoÌte dâIvoire,,Current,,source1,,Late stage,"source1,source2",Late stage design,Yes,No,No,No,No,No,,source1,,No,,source1,,Q4 - 2022,TBD,TBD,TBD,source1,,"Innovation:
1. First ever impact bond targeting child labour reduction
2. Direct local sourcing/ engaging with community for sustainable (fresh) canteen supply - supplementing current government only canteen supply model while developing income generating activities for communities

Demonstration effect:
1. Proof of concept that sustainable/ community-based school feeding programmes can directly contribute to child labour reduction

Scalability:
1. The project is replicable on large scale in rural communities, maintaining the same principle of value creation while taking advantage of economies of scale 
2. Active involvement of government from the beginning increases government capacity and facilitates further scalability

Strong partnerships including with the Ministry of National Education, the national rural development agency, the ILO, International Cocoa Initiative and the World Food Programme, can facilitate the expansion of the project.","source1,source2",,,source1,,No,No,No,No,TBD,source1,,No,No,No,TBD,source1,,Yes,source1,,No,No,No,No,TBD,source1,,Yes,Funded by the Dutch government under a broader funding to the ILO on child labour elimination,source1,,TBD,TBD,source1,,"Despite being the foremost cocoa producer, most cocoa farmers in Cote d'Ivoire are impoverished. 1.3 million children (aged 5-17) in cocoa-producing regions work in the cocoa sector. Despite several measures to combat child labour, progress to date remains modest. School feeding programs have shown limited but positive empirical evidence regarding reduction in child labour. The Cote d'Ivoire government has been facing challenges in implementing its national school-feeding programme. Current supply of school canteen by government covers only 18 school days out of 120 days in total. Challenges include insufficient budget to cover the operation of the project, food shortages in the canteens, irregular operation of the canteens, low community involvement, lack of staff to manage the canteens, ineffective model for the sustainability of the canteens, etc. Proposed project seeks to address these challenges by introducing sustainable, well-stocked canteens for all 120 school days.","The project aims to reduce child labour in cocoa producing regions in Cote d'Ivoire. The primary intervention includes establishing innovative and sustainable school feeding programme (canteen services) in primary schools. The objective is to raise USD 10-20 million to fund the establishment and functioning of 150- 250 school canteens in selected cocoa-growing regions. 
Expected results include:
1. Reducing child labour in cocoa growing regions in Cote d'Ivoire
2. Increase in school attendance rates contributing to better education outcomes for children and reduced time of children on fields
3. Establishing a sustainable community-based food supply model for school canteens
A cornerstone of the project involves procuring local produce directly from smallholder farmers within the communities, serving as a pivotal mechanism to fortify local economies and contribute to the long-term sustainability of the programme. The programme is designed in partnership with the government to ensure that it can be replicated on a larger scale by the government. The project represents a holistic approach to improving the lives of children, families and communities while testing a sustainable long-term solution.",Yes,No,No,No,No,No,No,No,No,No,No,,,8,,,"source1,source2",,Primary school children,10000-50000,Individual,,No,Yes,No,No,source1,"Three target numbers based on Impact Bond size (10,000/25,000/50,000 children)",Data for this project was last updated by stakeholders in Feb 2024.,CÃ´te dâIvoire,CI
INDIGO-PL-0036,Refugee Impact Bond (Second Tranche),,Current,,source1,,Late stage,source1,The Refugee Impact Bond 1st tranche is closed and launched. Fundraising is ongoing for the 2nd tranche in Lebanon with first investor comittment from DFC confirmed,Yes,No,No,No,No,No,,source1,,Yes,The project is the 2nd tranche of the Refugee Impact Bond. The 1st tranche was launched in Jordan in September 2021.,source1,,Q2 - 2023 or later,6-12 months,4,Q1 2016,source1,,"Livelihoods programmes have great potential to improve refugeesâ living conditions and to boost the host countryâs economy, as refugees spend the money they earn. However, they are a relatively new area for humanitarian organisations and can be challenging to implement, which means traditional donors are reluctant to take the risk of funding them. When programmes do exist, results are often disappointing owing to top-down or âone-size-fits-allâ approaches. Finally, funding contingent on activity-based annual cycles, hampers efficacy and innovation. The DIB transfers the risk of funding a multi-year livelihoods programme to investors. Beyond risk externalisation, the DIB also provides high value-for-money for the donors.",source1,,Raising the necessary outcome funding commitments.,source1,,No,No,No,Yes,,source1,,Yes,No,No,Service provider was selected out of a shortlist of providers short-listed during feasability study. Final candidate selected following a stringent due diligence process.,source1,,Yes,source1,,Yes,No,No,No,,source1,,Yes,The feasability study was funded by Convergence. The structuring phase was funded by Convergence and IKEA Foundation.,source1,,USD,8800000,source1,,"Worldwide, conflict and climate crises are forcing more people than ever from their homes, with displacement and its impacts lasting years beyond the crisis. The Syrian conflict has driven 6.6 million people to flee Syria with 80% settling in neighbouring countries. This puts a strain on local economies and infrastructure as well as leaves refugees and their host communities struggling to access safe and dignified work, basic services, and affordable housing.","Near East Foundation will implement a micro-enterprise, vocational trainings and grants programme. The programme will support 3,000 refugees and Lebanese through business development and resiliance-building trainings. The majority of these will also receive start-up grants and coaching sessions to support the launch of their micro enterprise.",Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Livelihood programs in humanitarian contexts,,"1, 4, 5, 8, 10, 17",,,source1,,Vulnerable refugees and host communities (75% women and 30% youth),3000,Individual,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in April 2022.,Lebanon,LB
INDIGO-PL-0037,Menstrual Health and Hygiene DIB (Second Tranche),,Current,,source1,,Late stage,source1,"First tranche launched in Ethiopia in February 2022. Second tranche to be launched upon commitments of outcome funders and investors (e.g., in other regions in Ethiopia, in Niger, structuring has been done).",Yes,No,No,No,No,No,,source1,,No,,source1,,Q2 - 2023 or later,6-12 months,3,2019,source1,,"(1) Experiment a comprehensive intervention to address menstrual health and hygiene challenges
(2) Build evidence of the impacts of such intervention
(3) Develop a dialogue with policy makers to replicate and scale the intervention
(4) Risk transfer from providers and donors to social investors",source1,,"(1) Hard to secure outcome funding
(2) Complexities around the financial structure for the pre-financing of the Ethiopian DIB
(3) Measurability of outcomes given undocumented sector and no track record of interventions
(4) Fragmented ecosystems of service providers",source1,,No,No,Yes,No,,source1,,Yes,No,No,,source1,,Yes,source1,,Yes,No,No,No,,source1,,Yes,"AFD financed the feasibility, the structuring, and the preparation of the NGO pre-signing",source1,,EUR,16200000,source1,Up to EUR 5-15m per new geography/country (1st tranche in Ethiopia: EUR 3million),"Menstruation is a key component of a womanâs life. Yet it remains a taboo in many cultures, including in Africa and India. In these countries, the issue has been consistently overlooked, underestimated, and underfunded. For instance, 70% of adolescent girls in Ethiopia and over 52% in India learn about menstruation after menarche from an older sister or peers at school. Due to lack of awareness, many girls adopt unhygienic practices, which can have negative impacts on their health. Girls also feel less confident because of the lack of sanitary facilities at schools and unavailability of better sanitary products. This impacts their ability to attend school or work in appropriate conditions. Ultimately, it perpetuates stigma and gender inequality.","(1) outreach campaigns to change practices, behaviours and attitudes
(2) development of a local market for menstrual products
(3) improvement of sanitary infrastructure",No,Yes,No,No,Yes,No,No,Yes,No,No,,,,"3, 4, 5, 6, 8",,,source1,,"Adolescent girls, women and their communities, including boys and men",TBD,Individual,,No,Yes,No,No,source1,TBD (number of beneficiaries for 1st tranche: 325k),Data for this pipeline project was last updated in April 2022. ,Ethiopia (new region) or other Sub-Saharan country,ET
INDIGO-PL-0038,Youth and Young Womenâs Livelihoods (YYWL) Fund,,Current,,source1,,Early stage,source1,Feasibility Study conducted in 2018. Currently finalising a Scoping and Marketing study with the objective to confirm service providersâ interest in participating to the DIB and secure expressions of interest from a pool of potential outcome funders and investors. Structuring phase expected to start in Q2-Q3 2022 â fundraising for the structuring costs ongoing.,No,Yes,No,No,No,No,,source1,,No,,source1,,Q2 - 2023 or later,12-24 months,4,Q4 2021,source1,,"Clear outcomes identified to finance these interventions through a DIB, will to strengthen serviceâs providers capabilities in delivering in the context of a RBF mechanism",source1,,Securing outcome funding in a post-pandemic context,source1,,No,No,Yes,No,,source1,Domestic governments will be consulted to ensure alignment of interventions with national priorities and will be engaged to design the exit strategy and ensure a sustained impact of the interventions,No,No,No,N/A  ,source1,n/a â service providers to be selected during the structuring phase.,Yes,source1,,Yes,No,No,Yes,,source1,,No,TBD,source1,,USD,1500000,source1,USD$5-15m funding requirement estimated during the feasibility study per country,The analysis of Senegalâs and Tanzaniaâs socio-economic contexts showed a mismatch between available skills and job market needs as well as the vulnerability of the youth and particularly young women when it comes to unemployment or decent employment. The development of both vocational training to equip young people with adequate competencies and entrepreneurial skills stands out among the main priorities identified in both countries. Access to capital for the youth and young women is also a key issue identified.,"Feasibility study confirmed the relevance of 5 types of interventions: life-skills development, vocational training, support to entrepreneurship, job placement services and financial inclusion. Intervention model to be further defined around at least one of these categories in collaboration with the selected service provider(s) during the strucuturing phase.",Yes,Yes,No,No,No,No,No,No,No,No,,Other: Gender,,"4,5,8,13",,,source1,,Young people aged 15 to 35 years old with a specific focus on young women,TBD during the structuring phase,Individual,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,"Senegal, Tanzania","TZ, SN"
INDIGO-PL-0039,INNOVAEDU: Pago-Por-Resultados de Innovaciones Educativas en El Salvador,,Current,,source1,,Early stage,source1,Right now both operations are in the stage of design.,Yes,,,No,No,,,source1,,No,,source1,,Q4 - 2022,12-24 months,3,Q4 2021,source1,,Promote a culture of intervention based on result and engage private actors,source1,,"Identifying actors with disposition to co-create this intervention, fast learning about the instruments, identifying private investors that could support the model and developing a market",source1,,Yes,No,No,No,Informed and possible scale,source1,,No,No,No,"Scoping study conducted last year, there where some possible providers pre-identified",source1,,Yes,source1,,No,No,No,Yes,,source1,,No,,source1,,USD,1500000,source1,$1.5MM,"Throughout the last decade, El Salvador has faced multiple educational challenges that has conditioned its socioeconomic development and slowed its progress towards quality, inclusive and equitable education, eg. violence in schools, overage students, low quality educational offer and of little relevance to the needs of the future labor market, among others. All these challenges contribute to the âfunnel effectâ of exclusion from the educational system: âmany start, few finish, and those who learn are even fewerâ . In essence, the funnel effect explains the impact that multiple barriers have on students' educational trajectories towards reaching minimum levels of learning necessary for work and life, and which have been exacerbated by Covid-19. Within this framework, this project will address two interrelated challenges: (i) Early dropouts at the secondary level, and (ii) acquisition of Skills for the 21st century.","TBD. Interventions primarily targeting to increase STEM knowledge and abilities, as well as to reduce drop out rates",No,Yes,No,,No,No,No,No,No,No,,,,"4, 5",,,source1,,Secondary students from 5th - 7th grades in Honduras and from 7th-9th grades in El-Salvador in both countries with a gender focus.,1500,,,,,,,source1,"Approximately, 1000 â 1,500, 40% - 50% girls",Data for this pipeline project was last updated in April 2022,El Salvador,SV
